Name,Date,Content,Rating
"Nicole of Monument, CO","Original review: Sept. 6, 2021","I purchased the Harmony Modular Sofa for $3200 with Performance Microfiber material. Prior to my purchase, I had consulted West Elm customer service to determine the best fabric (most durable) for kids. They recommended the Performance Microfiber. BASED ON THEIR RECOMMENDATION, I purchased that sofa. After a month, the sofa ALREADY had stains that would not come out even when professionally cleaned. I was very unhappy with fabric. My first couch ($900 from Roomstogo) was more durable than this sectional. I contacted customer service and was told there was nothing they could do. So here we are with a $3,000 sofa we don’t like.",1.0
"Angelina of Stoughton, MA","Original review: Sept. 4, 2021","I ordered my cabinet in the store and was given an expected delivery date of two weeks from purchase. They give you a delivery window, so I canceled some arrangements to be sure to be available. Additionally, the delivery window was tight for other things I had going on, but it would work. Lo and behold, even up to the day before my delivery I received emails confirming my delivery, only to receive a call that same day stating the delivery was canceled. I was upset because apparently the decision was made to cancel due to weather, which is understandable, but to receive notification barely one day before when my schedule was already tight was upsetting.",1.0
"Maria of Little Neck, NY","Original review: Sept. 3, 2021","Terrible Terrible. We ordered the Andes Sectional which took four months to make. When we finally got delivery, the ottoman to the sectional went missing in the warehouse. So they delivered a partial sectional. AND then, the screws were missing to the legs of the sectional. When they shipped us the new screws, they were the wrong size screws. I have never encountered such bad service and they were not even apologetic for any of this incompetence. To date, we are STILL waiting for the right screws and our ottoman is lost somewhere in the warehouse. This is not a cheap sectional - we paid $5,000 for this. I cannot believe any company would allow this to happen. This is not deserving of even one star.",1.0
"Tom of El Cerrito, CA","Original review: Aug. 31, 2021","We went to the store to buy a bathroom mirror, store told us to go onto their website. Website said we would have it within two weeks. After two weeks I checked on it, it was on back order and I was not notified. Contacted them and was emailed back a week later telling me it is now on back order, I already knew that and this is 3 weeks after I bought it, two weeks later on the day it was to arrive. A lamp arrived instead, when I called about the mix up, they told me to take the lamp to UPS to ship it back to them. Still no word on what I paid for.",1.0
"Susan of Roslindale, MA","Original review: Aug. 29, 2021","Incompetent Customer Service. I recently purchased a dining table and 4 chairs. When the items arrived, the delivery team informed that 1 of the chairs was flawed (!) and couldn't be put together. They took that chair with them and told me that I would receive a replacement in 24-48 hours. After waiting for 3 days and receiving no communication from West Elm, I contacted their Customer Service department and was on the phone for over half an hour with no resolution. They had no record of the chair that had been taken back by the delivery team.",1.0
"Arkadiusz of Quincy, MA","Original review: Aug. 28, 2021","Where to start? I initially placed the order for a Heaven sectional sofa on January 24, 2021. I took into consideration logistic issues around the world and picked “in stock” fabric, ready to ship in 10 weeks. Month later I found out I need to wait for it for additional 3 months, that’s when I decided to change my sofa to a fabric that I liked more (supposed to also arrive in 10 weeks). Each month after that my delivery date would get extended for additional month, until final delivery on August 6th.",1.0
"Roshan of San Jose, CA","Original review: Aug. 26, 2021","We had ordered a rug online for a good price point. There were ads seen at that price point and also article on CNN mentioning the reduced price. We went ahead and ordered few items. They delivered the regular priced item on time and sent an email stating cannot fill the order on rug. Spoke to the customer rep and asked for details, they mentioned that it was a pricing error on their part. They were willing to offer a discount. After the discount the price was still 4 times the price we initially ordered it for. This is how they lure you in, click bait on ads and fancy articles on CNN on discounts and ultimately when it is time to full-fill order, only fulfill those from which they have high profitability and fool the customer. If you cannot fulfill a price, please don't put random prices and use them as click bait for customer acquisition.",1.0
"Gabrielle of Brooklyn, NY","Original review: Aug. 25, 2021","I ordered 2 wooden shelves from West Elm on Aug 5th, which were supposed to arrive on Aug 11th. On Aug 11th the expected delivery changed to Aug 18th. On the 18th the expected delivery changed to Aug 21st. On the 21st it changed to Aug 25th - 27th. At this time I communicated with customer service and they assured me that delivery was indeed expected within that time frame. Today, Aug 25th, the expected delivery was again revised to Aug 31th - Sept 2nd. I again contacted customer service and was finally given honest information that the item is not expected to be restocked until the end of Sept.",1.0
"Brian of Kansas City, MO","Original review: Aug. 25, 2021","Absolutely, without a doubt, the worst company I have ever dealt with. I spent close to $6-$8,000 in one sitting with them and had to order everything 3-4 months in advance only to receive about 50% of those items. Butler tray, nightstand, media console, sofa, coffee table and sheet set all took forever to get here and when they did they were either missing half the item, lost or damaged from not only the warehouse but from the awful shipping company that is Ryder last mile. Oh and not to mention that media console I waited so long for was tagged as the completely wrong item and shipped. You can also forget about the ""White Glove Delivery"" because from what I have seen and dealt with from the shipping company they utilize, there is nothing ""White Glove"" about them or the service. Back to the products. ",1.0
"Dina of Ocean City, MD","Original review: Aug. 24, 2021",Buyer beware... I ordered two bar carts online two days ago and they have both dropped in price $160 ($320). West Elm will not do a price adjustment. I will be returning them both when they arrive. Such a terrible policy! Never again.,1.0
"Ella of York, Other","Original review: Aug. 22, 2021","I bought a duvet cover as a gift for a friend's guest room. It was used 5 times in the past year (because of COVID). When I went for a visit recently I was embarrassed to learn that 3 buttons broke in half (and were sharp to touch) and there was a large tear in the seam. The duvet cover was on sale for $180 (so no small change!). I contacted customer service and they took no responsibility for the issue. They said I should have noticed the issue within their 30 days return time, even though I explained to them the duvet was hardly used. They offered me 10% compensation. A laughable offer. I don't know how they can possibly think a duvet cover should be expected to last 5 uses?!!? I didn't ask for a refund. I asked for a replacement duvet but perhaps they know the next duvet won't last any longer?!? A very disappointing response from a company like West Elm. They should learn customer service etiquette from Wayfair or Amazon.",1.0
"Michelle of Washington, DC","Original review: Aug. 20, 2021",I purchased a glider for my baby's nursery in November with a December arrival date. It was delayed (and lost in a warehouse) until January. Now the rocking chair makes a loud banging sound when I try stand up (which wakes up my baby after I rock her to sleep) and feels unstable. I have called on 8/3 and 8/18 to ask for repairs. I was told both times that someone would be in touch in 24 hours to schedule a repair or replacement. Unfortunately nobody reached out from the company. I would not recommend purchasing a glider from this company.,1.0
"Aysha of Morgantown, WV","Original review: Aug. 19, 2021","I ordered 2 Angled Concrete Side Table, Gray Concrete #** for almost $1000 in March 2021. It took weeks for them to get there and when they finally did they were both cracked at the top. I decided to keep one that wasn’t as cracked but returned the other and hoped to get a replacement soon. The tables are SO incredibly heavy that I had to have them sitting on my porch to have picked up.",1.0
"Christine of Philadelphia, PA","Original review: Aug. 19, 2021","Ordered a quilt that was advertised as in stock and ready to ship one month ago. After two weeks, I called and was told it wasn’t actually ready to ship, it was back-ordered and would be delivered 8/20. It still hasn’t shipped. I was also told on the phone call that they were mailing me a $10 merchandise credit card to apologize for not notifying me of the delay which also hasn’t arrived. They keep charging my card and then refunding me every week or so still with no update on when the item will actually be delivered.",1.0
"C. of Hamel, MN","Original review: Aug. 17, 2021","Zero stars for West Elm needs to be an option!! We ordered the Harmony Modular Sofa from West Elm the beginning of December 2020. We received our sofa in March 2021, it came dirty (literally dirt on the coach, all edges were dirty as it had been dragged on the ground or truck) and damaged (scuffed with holes in it on some pieces). Called West Elm and they placed an ""expedited"" delivery for a new sectional that was slated to come in July and gave a 20% discount.  ",1.0
"Kevin of Los Angeles, CA","Original review: Aug. 16, 2021","I ordered a sectional from West Elm on March 22, 2021 as we knew them to be a professional and high-end company given their price point. We were told the with wait time would be ~16 weeks. The confirmation email we receive that day shows a delivery date of 7/21-8/4. This is slightly longer than they mentioned but no big deal, we figured they may be overcompensating to cover for any unforeseen delays.",1.0
"Dillon of Dallas, TX","Original review: Aug. 16, 2021","Would advise others to stay away from this store. My girlfriend's table is peeling apart 7 months after purchase. In dealing with the issue for her, I initially was informed by the West Elm customer service agents that repair or replacement would be covered. Spent 2 hours working with online customer service and store agents and store manager on this process, only to be ultimately told nothing could be done. Frustrated that this reasonable issue wouldn't be covered, but more upset that I was led to believe it would be initially, had to spend so much time to do it and then finally told that nothing could be done.",1.0
"Lara of Great Neck, NY","Original review: Aug. 14, 2021",Quite disappointed with the customer service at West Elm. You would expect a minimum from a company such as west elm and when buying expensive furniture! Upon delivery of the bed they realized the headboard was damaged ( meaning that the product was not inspected before shipping as other furniture companies do) so they left without installing it and ordered a replacement headboard. This is mid July and as of writing this review a month later they haven’t delivered it yet! I have called customer service several times and spoke with different managers. ,1.0
"Cassi of Fort Worth, TX","Original review: Aug. 12, 2021","I bought an Andes 3-piece chaise sectional in the summer of 2019, and it was perfect. Over the last two years it has been a great piece. The frame is solid and the cushions are still in wonderful shape for having been in constant use for two years. I have no problems with this purchase. My problem came about when in the summer of 2020 I decided to buy another piece to make my sectional into an L shape. I purchased a separate Andes modular piece to attach to my existing corner piece from 2019. What I received was NOT the same furniture. It had the same basic look and the fabric was the same, but that is where the similarities ended. The frame groaned the first time anyone sat on it (that person was my 50 lb, 8 year-old). Within 48 hours the bench cushion was sagging in the middle and the fabric was wrinkling because of the deflating cushion.",2.0
"Rachel of Towson, MD","Original review: Aug. 11, 2021","I'm really disappointed in the quality of the products I've received from West Elm. I received a duvet and sham set that I was so excited to get and put in my new apartment. They came and looked beautiful, so I washed them exactly how the instructions said and used a color safe detergent. A ton of the color came out of the set and it has already begun to pill. Now this beautiful set has turned into this drab set that I'm embarrassed to even put on my bed. I understand that because they are washed they can't take them back, but for something that I put a lot of money into I don't think the color should be bleeding out of a product less than 24 hours after I got them.",1.0
"Honey of Englewood, CO","Original review: Aug. 10, 2021","I purchased a marble-top coffee table in March. Initial delivery was quick however from the beginning there was an issue with the installation (done by the delivery company) that caused vibration and noise in the table whenever we walked around it. After several phone calls finally, medics came and diagnosed that it should be replaced. Again couple of phone calls later, they replaced the order, scheduled the delivery date just to call a couple of days ahead and tell me that the tabletop is ready for delivery but the base is nowhere to be found and they need to reschedule. Twenty days later, in August, they have no answer when I can have my broken table replaced. ",1.0
"Elisa of San Bruno, CA","Original review: Aug. 8, 2021","I ordered a couch and coffee table prior to reading reviews about this company (when you choose Crate and Barrel versus West Elm, it’s still the same company, so they get your business either way). I didn’t realize that a wait time for a coffee table was 3 months, but it is. I would like to cancel this order, but like others have stated, this isn’t possible, even day-of-canceling. I’m hoping that I get these items within the allotted time frame, but it sounds unlikely. And, please allow customers to cancel prior to shipping, especially if estimated shipping is 3 months out. I’m regretting that I ordered from this company prior to checking reviews but hope they can provide an experience that rectifies this.",1.0
"Anna of Valparaiso, IN","Original review: Aug. 7, 2021","We ordered some barstools that were falsely advertised as being delivered August 12. Once I made my purchase they told me they would be delivered November 19 instead. I called immediately to cancel and their customer service was not open during the advertised hours. I called and cancelled the next day. 12 days later they called me and told me the order could not be cancelled. You cannot trust this company. First they falsely advertised the delivery date. Second, they falsely advertised their customer service hours. Thirdly, they are attempting to charge me for the order after they confirmed the cancellation.",1.0
"Maggie of Sacramento, CA","Original review: July 28, 2021","Unless you enjoy waiting in the balance for your furniture to maybe arrive in this century do not waste your time ordering from this business. I ordered a table and two dining chairs mid-May. When they delivered the table a chair was missing. So I literally have a table and one single chair. They have charged and credited my card three times which I was told is to ensure the funds are still there. This entails having to hawk eye my statement to ensure they're charging and crediting the same amount each time. In addition to this I've been told three times it's going to be delivered, even scheduled the delivery, only for them to tell me it's been delayed. Online it says the product is in stock and ready to ship, they're telling me it will be October before I see it. Not worth the hassle and I will not be ordering from this company ever again. There is clearly a reason they don't allow reviewed on their site...",1.0
"Aynara of Atlanta, GA","Original review: July 27, 2021","I purchase a table and two chairs on April 18th. Both of my items were received on April 20th. Initial delivery was extremely fast and I have no complaints. However, after attempting to assemble the items, we noticed both chairs and table were damage. I immediately called customer care at West Elm and they informed me they would be sending a replacement. This was on April 26th. Today, three months after I still haven't received my item and after contacting West Elm several times, there is never an answer when I will be receiving my items.",1.0
"Amanda of Farmington, NH","Resolution response: Aug. 4, 2021","Products are great and the item did eventually arrive. Not sure if it was a technical error, but some sort of update when shipping is delayed and an automatic notification of the delay would go a long way for items that run out of stock.",
"Lauren of Raleigh, NC","Original review: July 26, 2021","Charged for our sectional over a month ago, initial delivery date was two months ago, and the people who delivered it two days ago only have the sofa piece. They told us the sectional is lost and never put on their truck and they have no idea where it is and no one seems to know where the chaise is and they also didn’t even have the correct hardware to put the sofa piece they did have together. Basically we have have of a sectional sitting on the floor of our living room right now...",1.0
"Aimee of Encinitas, CA","Original review: July 23, 2021","I purchased a dresser & 2 nightstands on May 6, for the delivery date only to be rescheduled several times. Finally I get the email to schedule my delivery appointment for July 24. A day later I got a call saying that my nightstands, which had come in the month prior but were on hold waiting for the other order (dresser) to come in.. only to be told my nightstands were now not in stock AGAIN! They had shipped them to someone else. Now I have to wait another MONTH for my nightstands. This will be 4.5 months later! Absolutely ridiculous. They are only giving me a ridiculous small credit for their mistake and for the inconvenience. I am livid.",1.0
"Raghu of Folsom, CA","Original review: July 23, 2021","We ordered for 2 accent chairs way back in March 2021 this year and they postponed the delivery date 2 times without even calling us and informing us of the delay. We kept calling them regularly to enquire about the status of our delivery and the customer representative did not have any visibility or clue on when the actual delivery would take place and no guarantees were given ever. At the end of almost a 5 month wait when they again postponed the delivery date and we got upset this time, they mentioned that our order items were lost. Once again no call to the customer and total disregard to customer satisfaction.",1.0
"** of Brooklyn, NY","Original review: July 22, 2021",Ordered a piece of furniture in May. Delivery was pushed from July to August. Now I get an email that delivery is postponed for September. In two weeks most likely they will send me another email saying delivery is pushed for October. My advice to you: Do Not order anything from West Elm.,1.0
"Quynh of Staten Island, NY","Original review: July 22, 2021","BUYER BEWARE. -We placed order for a sofa in Mid March 2021. -Never got any updates on the online tracker. -Called end of May they said there are delays. -Called 2 times in June, different reps so had to re-explain everything multiple times, the reps said they would reach out the vendor and get to me but never did. -Called in July - was told we would get a dedicated person to follow up and she promised to keep us updated. -Got one update that delivery was on time even though tracker said otherwise. - During my multiple conversations with the sales rep they would consistently blame the vendor and say they do not have direct contact with them and all they can do is put an alert on my order and wait for a response which can take up to a week. Yet I never a call back from any of the reps with the vendor’s response.",1.0
"Colin of Charlotte, NC","Original review: July 20, 2021","West Elm is completely unable to set or meet a date to provide goods. I'm not sure how they get past the FTC 30-day rule, but expect delay after delay adding to weeks and months of hold up. They will charge you - they will also charge you heavily for delivery - but cannot provide any availability dates with accuracy. They will also hold all ""flat rate"" deliveries until all products are available - meaning an item that may show up within 2-3 months of the original date will be held until all are available (in my case 6-8 months after promised delivery).",1.0
"Scott of Three Rivers, MI","Original review: July 15, 2021","I have made multiple purchases from West Elm over the past 8 years, having furnished two homes and working on a third. For this most recent project, I purchased a dining table with four chairs, a media credenza, a carpet/rug, two living room chairs, a coffee table, a floor lamp, and a sofa. The total for his latest project was several thousand dollars. Some of this process has been acceptable; however, I'm extremely disappointed by the extremely long delivery times, especially for the sofa. We ordered the sofa with an delivery time of weeks. After placing the order, we were informed it would likely take 20 weeks - four months - for this sofa to be delivered, and, beyond that, it might take longer and the actual delivery date remains unknown. When we questioned this and asked our designer to respond to us within the next day, he told us he was going on vacation and ""instructed"" me to contact him when he returned. ",2.0
"Julia of Mission Viejo, CA","Original review: July 15, 2021","I ordered the Portside expandable dining table and chairs in November 2020. 8 months and several calls to customer service later, I still don't have my furniture, nor do I have any idea when it will be delivered. Over the past 8 months I lost track of the number of times the expected delivery date was changed, until I stopped receiving email updates all together. I was told that my account was placed on hold due to lack of payment - even though this was paid off via Affirm in February 2021. This was part of a larger order, which I also had problems with, between damaged furniture and not being notified that other pieces of furniture were sitting in a warehouse ready for delivery. ",1.0
"Elizabeth of Orange, CA","Original review: July 12, 2021","I ordered three pieces of furniture a week ago. When I checked the site today, the same furniture was $600 less in price. I called to cancel my order and reorder at the lower price. Because my furniture had reached the warehouse for delivery, I was not credited the shipping back on my original order. I reordered the furniture and got confirmation the same day that I could schedule delivery. This makes sense, as the products were already at the warehouse. I had to pay for shipping twice, when my items were already shipped. This was very frustrating. West Elm is getting $500 in shipping from me for shipping one time. When I called and asked to speak to a supervisor, the agency I spoke to said she asked and the supervisor wouldn't refund the shipping. I doubt they even checked with a supervisor. I should have been able to receive a refund or have the shipping on the second order waived. This is fraud at its best.",1.0
"Oscar of Cary, NC","Original review: July 8, 2021","It's a long review but worth reading before even considering purchasing anything at West Elm. Take your business to Crate and Barrel! Ordered an entire Bed Set. The Bed set arrived...with a broken footboard. To top it off, the bed was incorrectly installed (unbeknownst to us at the time), we did call out to the initial delivery team that something seemed off, but they shrugged it off as ""If we screw any deeper it will damage the wood"". ",1.0
"Kristy of Denver, CO","Original review: July 6, 2021","TLDR: 6 months later, still don’t have undamaged furniture. I could not be more disappointed and frustrated with the delivery of my media center. First, it took nearly four months for the initial delivery to become available. Understandable with the pandemic delays. So I scheduled delivery and took four hours off of work to accommodate that time window. Got notifications about delivery the next day, on its way etc. Then, delivery was cancelled without notifying me - I only found out because I clicked the link to see the location of the truck. After I called to figure out what was happening, they said a piece was missing and so they shipped that piece direct via UPS and rescheduled delivery. ",1.0
"Emily of Brooklyn, NY","Resolution response: July 21, 2021","I have to say, I did not expect the kind of help I got from West Elm after posting this review. The sofa really is awful, BUT Tammi and Charlene from the social media team are AMAZING! They reviewed all the photos I submitted and offered me a full merchandise credit for the cost of the couch. The only catch was that they had to pick the sofa up---no big deal, except there were some issues with the local hub's delivery system and we had some appointments for pickup cancelled by the computer system. I was frustrated by this, and Charlene and Tammi gave us an additional gift card as compensation for the inconveniences. I won't buy another West Elm sofa, BUT I will be happy to use the merchandise credits in some other way. Super pleased with the care the social media team gave to my complaint.",
"Victoria of Lynn, MA","Original review: July 3, 2021","West Elm has the worst delivery service I’ve ever dealt with. I am beyond angry as I was supposed to get my couch delivered today. The driver called me complaining about parking, then called me back asking me to open the door. I told him to ring the doorbell, and there was an elevator that would directly take him up. My boyfriend got surgery, and I had to step out. The driver said it was fine. The driver rang the doorbell, and my boyfriend unlocked the door. The driver held something up on the door, seemingly to deliver my furniture. I get a notification and email saying my furniture was delivered. Guess what, it wasn’t!!! ",1.0
"Alisa of Suwanee, GA","Original review: July 3, 2021","I was sent the wrong item three times. Spoke with associates and two supervisors who assured me they would personally handle the problems with delivery and confirmed that the product was in stock. After a month of having the delivery delayed, just asked that my money be refunded. Never once was I offered a credit or even a coupon for the inconvenience. This company wasted so much money sending me the wrong item and having pay for return shipping. No wonder there are so many complaints. Thank goodness, my purchase was a small one. I will NEVER set foot in one of their stores again. They need new leadership who makes customer satisfaction a top priority.",1.0
"Ursula of Windsor, CA","Original review: July 2, 2021","A couch we ordered was delivered by staff who didn't know how to set it up. The clips that were to attach the pieces were not installed correctly, and the delivery men tried to jam them in so now both clips are are bent and our couches cannot be connected. They did not have the tools to fix it. They told us that they would have someone out in 3 days. That was last week. We now have a date 2 weeks from delivery. Our old couches are at the dump, and my party I had planned was moved. We were given lip service when we called numerous times getting the run around and told someone would reach out. We have also sent numerous emails with pictures attached, and not received a call. We paid enough to get a quality sectional. Very surprised that West Elm is so very lame- once they get your money for their pricey furniture- they've moved on to the next customer.",1.0
"Laurence of New York, NY","Original review: July 1, 2021","I ordered one style of sofa at the company's store, and confirmed the order with the sales staff on the floor. 3 months later the wrong style was delivered. I arranged to return the sofa and re-ordered. I repeatedly contacted West Elm during the process to make sure there was not another screw up. Incredibly, after another 3 months the wrong style was delivered again! The company showed colossal incompetence throughout the process. Training of staff, internal controls and customer service were all sub-par. So, after waiting 6 months I still do not have the proper piece.",1.0
"Deanna of Astoria, NY","Original review: June 30, 2021","This company is terrible. I don't usually complain but the delivery service was horrible. The item was to arrive between a two hour period. However, the company provided a tracking link to show the estimated arrival time and it was inaccurate. It was suppose to arrive around 1:30-3:30 PM but the ETA on the link was after 5 PM. Thinking the link was more accurate, I planned accordingly to this. The item arrived around 2 PM and they said they would not wait for more than 15 minutes for me to arrive. For someone who has a full-time job and has regular work hours, this is quite frustrating. The customer service was terrible. I will not be buying from this company again.",1.0
"Caroline of West Columbia, SC","Original review: June 26, 2021",I placed an order for a new couch in April 2021. It was expected to be delivered in late June/Early July. My boyfriend and I started our lease at the end of May and figured we could sit on lawn chairs for a month until the couch arrived. I received an email in mid June that the couch was ready to be delivered and we were very excited. I scheduled the delivery for the next week. The day before my scheduled delivery I got an email from someone in customer service saying they were still waiting on one piece of the couch and that it would not be delivered on our scheduled date. I asked if she had a timeframe for the delivery and she quoted the original delivery window. The next week I got another email from West Elm that said “thank you for your order”. ,1.0
"Emily of Brooklyn, NY","Original review: June 25, 2021","Ordered this sofa on May 1 with expected delivery on June 1. June 1 passes, and no sofa. Called West Elm to inquire about the delay, they said it would arrive in 2 weeks and that someone would contact us to arrange delivery. 2 weeks go by, and still no sofa. Called West Elm again to ask when it will be delivered. They say it will arrive in 2 more weeks. Yesterday, which was 2 weeks from the second anticipated delivery date, we had yet to hear anything about the delivery from West Elm.. until - PLOT TWIST! I left our home today to find the arms - just the arms - of the sofa in a box on our stoop.",1.0
"Leslie of Mill Valley, CA","Original review: June 25, 2021","UPDATED 7/4/2021: I wrote a review about the Mango wood furniture that appears very different in person versus online. The company ""reached out"" to ask me to email them at a generic email with all of my details. This allows it to display as in resolution or something like that on this site which makes West Elm look super responsive to customer complaints. Actually, it is the furthest thing from being responsive to customer complaints. I responded to this post with the order number and information and no one responded back. They must scour these boards to give generic responses putting all the onus on the consumer to look responsive without actually doing any work to resolve the customer issues. This makes me even more wary of shopping here any more than the discrepancy in the items from website to real life. Buyer beware of reading too much into the responsiveness of the company based on this website.",1.0
"Ann of Seattle, WA","Original review: June 22, 2021","What the actual.. I had ordered a media stand early March and it was delivered at the end of the March. The handle was broken and required a new one. I have reached out countless times, they give me weird excuses and say that they would need to dispatch someone to come to my house and examine it to see if a new handle is really needed. I call again because no one came or followed up and was told that a replacement would be sent out and will be delivered by the 19th but couldn't give me a tracking number. 19th came and went with no delivery, I call one more time and was finally given a tracking number. The tracking number has no movement. It hasn't even been scanned in to UPS. ",1.0
"Gus of New York, NY","Original review: June 20, 2021","Absolute FAIL. Beware, WestElm will not deliver product on time and will mislead you. For the third time in 45 days, I've placed an order that promises one delivery estimate on the website and in the confirmation email, and then several days after the latest date they promise, I'll notice that I haven't received what I ordered. I then log online or call and find out the item is suddenly and mysteriously back ordered for 3 weeks. Except I was never told, and I was never going to be told. And then the customer service is horrendous. The typical attitude where they make you feel they're doing you a favor and refuse to offer any solution or discounts. Unprofessional, unfortunate, poor performance and customer service.",1.0
"Ka of Charleston, SC","Original review: June 15, 2021","For the third time now I've had to send the pricey emerald cut mirror back upon delivery due to damage or manufacture defect. For the price of this mirror, you'd expect some quality control. The edges of the mirror facets do not align, appear to be sloppily glued on and look wonky. The first one they delivered was broken. I've never had to return a product purchase this many times before from anywhere, let alone a higher end store. These mirrors need to be inspected before sent for shipment. This is a poor reflection on West Elm. I will definitely think twice before shopping there again.",1.0
"Audra of Bridgeport, CT","Original review: June 15, 2021","I ordered this as a gift, and when I unpacked the box it shipped in, the “marble” at the base of the clock not only chipped away, the clock pulled right out from the marble base at the stem - and of course it’s nonreturnable. Wow. What a joke.",1.0
