Field1,Time,Content,Rating
"Linda of Union, SC","Original review: Aug. 21, 2021","I ordered cabinets in April 2021. As of today, August 21. I still do not have all my cabinets. I was finally scheduled for the last delivery yesterday. I received a call from IKEA that my delivery was 5-30 minutes out. It never arrived. I called IKEA delivery to find out what happened. I stayed on the line for 1 hour and 40 minutes. I finally chose the option to leave a message and the mailbox was full. I went online to chat and it was not available. I called IKEA customer service this morning. I was on hold for 43 minutes. The customer service operator could tell me nothing except that I needed to reschedule my order. Worst customer service that I have ever received. If you’re in the market for cabinets I suggest that you DO NOT choose IKEA unless you are prepared to wait six months and deal with incompetent delivery personnel.",1.0
"Kalyani of Pune, Other","Original review: Aug. 16, 2021",Do not dare to cancel or return the product as their process is too much slow. I am yet to receive my money for the product I cancelled on 26th July. (Writing a review on 16th Aug). Very Pathetic experience.,1.0
"Kristi of Grangeville, ID","Original review: Aug. 11, 2021","I cannot imagine a company that better exemplifies total incompetence and fragmentation of service at the expense of their customers, other than IKEA. Do yourself a favor. Pay a bit more and shop elsewhere. Had we known what we were in for with IKEA, my family would have gladly waited to make our purchases elsewhere and paid more.",1.0
"Brett of North Andover, MA","Original review: July 29, 2021","Ikea's online experience is terrible. They are not set up to sell online and still try to 'force' you to visit their brick and mortar stores. They do not keep you informed about changes in delivery dates or order or even a cancellation of an order (as was my case), I had to phone customer service (who are friendly and try to be helpful) but cannot really help. They take you money on order and are very late to repay you when they cancel your order. I am still waiting for my refund and it is coming on to 10 days! DO NOT buy from IKEA online - bad experience and extremely poor service.",1.0
"Aykut of Denver, CO","Original review: July 26, 2021","They made me wait for a month without any notification and when I contacted them, they forced me to cancel the order saying that they can't resend the order that is damaged by FedEx because of covid. Not sure how it relates in any way.",1.0
"April of Sacramento, CA","Original review: July 22, 2021","I have never been more upset with a company than I am with the IKEA online shopping. I ordered almost $1000 dollars worth of merchandise for my daughter's bedroom. Once I ordered the furniture and mattress it said the delivery would take about a month and a half to be delivered. From June 2nd 2021 to July, 20th 2021. Okay... No problem. We can wait. Waited and then July 20th came around. Called and was told the order is running late, wait 7 more days and if nothing changes call back. Two days later, July 22nd. Email, ""Your order has been cancelled."" Wait... What... So I call back. I was told the items were out of stock so the order was cancelled. SERIOUSLY??? FOR ALMOST TWO MONTHS... REALLY? Now I have to wait 1 to 2 weeks for a refund. Never again will I EVER shop their website. Wouldn't even recommend it AT ALL.",1.0
"ANAND of Redmond, WA","Original review: July 16, 2021",Something has gone wrong between IKEA and FedEx and my order was not delivered to me. It looks the order since it was damaged was sent back to Ikea but Ikea has no clue about my order and aren't willing to help resolve this issue.,1.0
"Silvia of Waco, TX","Original review: July 15, 2021","I placed an order for seven run-of-the-mill items like towels and kitchen stuff on June 16. On JULY 15 they are finally being “picked”, with a shipping arrival date of July 19th. In the meantime I get a notice my cancellation has been refunded to bank. What cancellation?? And Guess what? Never happens. IKEA site still shows order in process. I could have walked the 100 miles to my closest IKEA by now, bought my stuff, and walked home. This is ridiculous.",1.0
"Elsa Hsin of Chicago, IL","Original review: July 10, 2021","Worst experience! Give my $800 back, Ikea! Short story: My $800 Farlov sofa order was never delivered as promised by ikea and my subsequent refund request also never happened after months! My $800 just disappeared without a trace. Ikea, stop acting like a scam company. Long story: Part 1: Called customer services multiple times where my sofa was. They always promised to deliver my sofa in the coming weeks. On the scheduled delivery day, I waited at home and watched my phone all day to avoid missing ANY calls, but every time, there was no one called me or my building and I wasted my time waiting at home like an idiot. This happened in 5-6 re-delivery attempts to the point where I decided to call to cancel my order and have a refund.",1.0
"Eliza of Pompano Beach, FL","Original review: July 10, 2021","I'm at home waiting for my delivery and no one call or email me notifying that my delivery will no longer be here today. As matter as facts they don't even know when it will be delivery. I understand things happens with delay, but they should have notify customers that the delivery will not get to them at least the day before. If I never called I would be home all day waiting for this. It's very disrespectful.",
"Diane of Logan, UT","Original review: July 3, 2021","I have shopped at Ikea for years and have always loved it. This was my first time using the delivery service because the bed I wanted to order for my daughter was unavailable in store and I didn't want to wait the extra time for it. When I placed the order on 06/16/2021 I chose the delivery date 6/23/2021 and waited patiently for it. I received a call on the day of that it would be delivered between 12pm-4pm, but I was unfortunately at work and didn't realize someone needed to be home to accept the delivery. I called as soon as I left work to reschedule the delivery and the woman was very helpful and understanding. It was rescheduled for 6/30/2021 and I made sure that someone was home from 9am-9pm, the time they put on my delivery confirmation. But I received no phone call, no message from the delivery driver, no contact whatsoever. ",1.0
"J of Ypsilanti, MI","Original review: June 29, 2021","Bit into gravel in IKEA Lingonberry Spread. Spit out some of the rocks. Spent over two hours on hold. Was rudely told they could do nothing about it, but that I should drive or mail the rocks to the store.",1.0
"Amit of Columbus, IN","Original review: June 29, 2021","Stay away from IKEA... Very poor Customer Service!!... I was sold a storage item that was wrongly tagged by IKEA and they are refusing to take its responsibility. On the contrary, their so called 'Customer Experience' agent got very rude and said 'if I had to trust every customer, I would be out of my job'... I was hoping they would take responsibility of this and ship me the replacement item as I live nearly 60 miles away from the store. Unfortunately, they did not do so, and instead started asking me for proof that the display item was wrongly tagged. The only proof I had was the picture taken from that day that showed the wrong tag. But they did not accept that and told me that their policy wouldn't allow them to have the item picked from my residence or refund me for that amount without I having to bring the product to their store in person or pay for its return shipment...",1.0
"Kimberly of Niantic, CT","Original review: June 25, 2021","I was scheduled for 1 day and they never showed. Told the day was wrong (even though they confirmed the day before). So after waiting whole day and 1 hour on phone to get a person, no one came. Next week get a call the day before, confirming delivery. Called 2x and yes they are coming and after 2 1/2 hours on the phone, still no show or no call. DO NOT USE THEIR DELIVERY SERVICE!!!!",1.0
"krish of Downingtown, PA","Original review: June 22, 2021",Poor customer agents. No knowledge and full of lies and false information. One customer agent even hung the call. Bad delivery and no responsibility. Customer care numbers have very unusual long wait hours just to be greeted with all false irresponsible answers. I wish I can give a negative star. Total nonsense.,1.0
"Anna of Chicago, IL","Original review: June 13, 2021","Truthfully the worst customer service any customer has ever provided. I placed an order on May 13 w/ a delivery date for May 14 (they followed up with a confirmation and everything.) The next day I was waiting for the furniture to be delivered during the entire delivery window they had given me -- the window came and went and no furniture was delivered. Never received a phone call/text (as was supposed to happen). I then tried to call customer service, sat on hold for an hour and by the time I got through the line was told they were closed and was hung up on. Then received a text that said my delivery failed because I wasn't home. I then rescheduled my delivery a total of FOUR times, each time was ""failed"" because I wasn't home -- which I was home every time.",1.0
"Ceren of Brooklyn, NY","Original review: June 11, 2021","Worst delivery service one can imagine. They don't have an accurate system to track your orders' status and customer service wants you to contact third party delivery company for any issues after waiting an hour on the line. Supposedly, the website should allow you to cancel/reschedule your order but since the order status is not accurate, it's not even feasible. If you're willing to go to store, go ahead but don't BOTHER delivery service assuming it's convenient.",1.0
"Brett of Coronado, CA","Original review: May 15, 2021",Made e-gift card purchase on Ikea.com and they redirect to CashStar...Don't do it. Never received card and CashStar and IKEA never refunded amount taken from my account. Have requested Ikea and CashStar to refund. Escalated to Attorney General of state. Don't buy e-gift card on Ikea.com,1.0
"Ashli of Compton, CA","Original review: May 12, 2021","Purchased over $400 in product today for pickup. Upon arrival I parked and checked in at the site noted on the parking spot. The employee they sent to my car said that items were missing from my order. I drove around front to speak to ""customer service"". After driving over 80 mi because this particular location had 4/5 of the items I wanted to purchase, ""customer service"" told me that I would have to come back to pick up the missing item because they could not access them during store hours. If you as a business cannot provide the service you advertise, just don't. IKEA needs to offer NEXT DAY CURB SIDE SERVICE to ensure they can do what they say they can. Phone ""customer service"" was just as ""helpful"", useless.",1.0
"Mariola of Other, Other","Original review: May 10, 2021","My experience with IKEA- Sofia, Bulgaria:",1.0
"Elizabeth of Gallatin, TN","Original review: May 6, 2021","Loose parts thrown in back of car, no box. Drove 3 hours home and parts missing. Other furniture broken. Was told by Ikea rep to throw away furniture and I would get refund. Five months later, no refund. I have called numerous times and told same story.",1.0
"kathy of Everett, WA","Original review: April 22, 2021",I decided on several items to purchase. Two were not available but when shopping nothing was indicated they were unavailable. The delivery price for the two items that were available with a total price of under $60 was $99 exorbitant. I will now have to search a totally different site for what I need. I also had quite a few other items saved for later for after I did a more thorough design plan. Guess I'll look elsewhere. Very disappointed!!,1.0
"Desteny of West Palm Beach, FL","Original review: April 21, 2021","My first experience at IKEA will be my last. Saturday, March 20, 2021, I drove an hour and a half from my home to IKEA. I was so excited for my first time, as I am a huge lover of interior design and home decor. I went in after some research looking for some clear dining chairs. I fell in love with the TOBIAS chair and had my mind set on getting them. I looked on the website that morning to confirm they were in stock before my drive. After walking through the showroom and grabbing some additional cute things, I went to go and grab the chairs. I find the aisle and bin only to find bottoms and not the tops. I look around to make sure they weren't misplaced and go and ask a team member for help.",1.0
"Gayatri of Mumbai, Other","Original review: April 9, 2021","Shopping online with IKEA India was a Pathetic experience...I ordered a set of four wine glasses...the delivery came with the product box open inside a brown box that was packed. One out of the set of four was broken. I wrote to the team and they called after two days and told me that since only one glass was broken they can’t replace the whole set, also they did not have a replacement for the one piece of glass that was broken. So they insisted I should take a refund for just one glass. That means I live with the incomplete set with 3 glasses and they give refund worth the cost of one broken piece, so I asked them to replace the whole set. ",1.0
"Faithe of Littleton, CO","Original review: April 7, 2021","It is my first time ordering items from Ikea. I would love to provide 5 start review but unfortunately, IKEA has failed me miserably. I ordered a set of 6 pieces of cookware and 2 separate frying pan (7” and the other 9 ½”) so the total should be 8 pieces altogether. The order was placed on 03/25/21. When the order arrived at the FedEx location, I was never notified that the order is ready for pick up. I came by FedEx to pick up the order today 04/05/21. The box is extremely light for 8 pieces. I looked at the label and it said 2.1 lbs. I open up and only one item, a 9 ½ “ frying pan in there, which is one of 8 pieces. The rest of my items is unknown. ",1.0
"Randie of Boca Raton, FL","Original review: April 3, 2021",This was my first time ordering online with IKEA and as the Israelis said on the top of Masada: NEVER AGAIN! They took my money quickly enough but never sent the order. You can't get anyone on the telephone so now I have to tell my credit card company to do a charge-back. SHAME ON THEM!!!,1.0
"Yaniv of Toronto, ON","Original review: March 29, 2021","Unable to get this resolved even after over 10 calls, asked to cancel everything in the end as I just can't keep wasting my time over broken promises. Avoid delivery at all cost!!!",1.0
"Jacqueline of Milford, CT","Original review: March 28, 2021","I ordered a rug today via click to pick up online. It defaults to any store that has it in stock not the store you have selected as your primary store. I therefore accidentally selected a store too far from me. I used chat to see if it could be changed. The chat agent did not speak my language and was rather rude about sharing the policy that they could not help me and I would not be able to have my money returned for up to 15 days! When I said this was unacceptable, I was give a customer service number. After a 10 minute hold. I was told I could be transferred to another return department. I was transferred and hung up on after I listened to a message saying they could not help me...I find this inconvenient and unjust. I want my money back today or tomorrow without a hassle. I’m not a bank and you cannot borrow my money for 15 days!! Until now I enjoyed IKEA for years...This is awful.",1.0
"Brandon of Lawrenceville, GA","Original review: March 19, 2021","In November of 2020, I ordered an Alex drawer unit. The delivery was set for a month out ($50 extra for shipping). On the day it was to be delivered, a completely other item came instead (a desk). I promptly called IKEA to let them know that the wrong item had been delivered. A mix-up, these things happen -- and they initiated a refund while saying that I could keep the desk. Great. I had not received a refund well into January, almost a month and a half later.",1.0
"D of Eugene, OR","Original review: March 15, 2021","Placed order including $35 blanket, was charged in full. Got email saying blanket was not available but was not refunded. Tried to email back - Ikea does NOT have an email for customer service. Went through chat. Chat immediately forces you to a service called “JustAnswer” — which CHARGES YOU $5.",1.0
"E. of Edgewood, NM","Original review: March 12, 2021","Placed an order on February 18. Received order on February 24, but was missing three items- three of the same items. Nothing expensive, but I wanted them. Called customer service and was told I would be refunded for these three items within 7-14 days. No refund yet and it is ridiculous trying to get in contact with anyone. I will not purchase anything from them again.",1.0
"Jessica of Halifax, NS","Original review: March 9, 2021",By far the worst experience ever. I took the day off work for the delivery for it not to show up and to be told it might be one or two days more to arrive. Not sure when. Then asks me if they can deliver it to my work place like what’s the point of selecting home delivery. I don’t understand how they expect people to be okay with this kind of service. I will not recommend buying so much as a reusable shopping bag from this backwards company.,1.0
"Christina of Elmwood Park, IL","Original review: March 2, 2021","We purchased the Fabrikor metal and glass display cabinet in February 2021. We purchased it online and paid for shipping. It arrived and we put it together. The doors to not align. As others have mentioned, I went through the web of customer service on 2/21/21 and was told by a young man to destroy the cabinet, they could not take it back because of COVID, and he had ordered me a replacement that would arrive in 3-5 days and he would email me the order number. I kept checking my email, awaiting the replacement order number, which never arrived. I called Customer Service again on 2/23 and there was no record of this conversation on my original order number. The young woman I spoke with ordered me a replacement, provided me with an order number and told me that the replacement would arrive on 3/1. ",1.0
"Magnus of Chicago, IL","Original review: March 1, 2021","Having recently arrived as an international scholar in Chicago, I was in need of new furniture. But the hope that ordering from IKEA would be a fast and cheap solution turned out to be the completely misguided. What I experienced/am experiencing is the antithesis of fast and cheap. It is not fast ---- Currently I am awaiting the 5th attempt to deliver my order. What happened in 4 previous ones? Two things. First. After delaying the hour of delivery on the day of delivery, the delivery company would fail to show up. Without giving you a call, they will later on simply lie that nobody was present. Know that there is a custodian present 24/7 in the apartment complex who sees and receives everyone in front of the building. Second. The delivery succeeded but with a few single items of the almost 50 item order were being handed over.",1.0
"Richard of North Ridgeville, OH","Original review: Feb. 26, 2021",My wife purchased a product in early February. Twice I took a day off work because IKEA loves give super small 12 hour delivery window. Twice the product did not show nor did they ever call to set this straight.,1.0
"Ellyn of San Marcos, CA","Original review: Feb. 23, 2021","We began our Ikea kitchen design last October and it is now mid February. After purchasing the parts needed to build our kitchen, we have been met with a series of errors and crappy compromises. First off, we have an average sized kitchen and ordered basic cabinets and they still never got the order straight. We paid $79 for an official measurement and that measurement was incorrect. The excuse was new staff.... After 3 deliveries of random goods, delivered to the sidewalk in front of our house, we also had to go buy more parts and return wrong parts 9 times within a month and a half. All during a Global pandemic and no phone payments or orders taken. We had to travel south 40 minutes each time, go into the corn maze and pay and then drive 5 more miles east to their warehouse for pick up. ",1.0
"Colleen of Austin, TX","Original review: Feb. 13, 2021","Would not purchase this again, has coil tops that fit unevenly, resulting in one half of the pots/pans getting more heat; it is very difficult to cook properly. came in the house I purchased. It is fine and gets the job done, however I wouldn't recommend others to purchase.",4.0
"ed of Teaneck, NJ","Original review: Feb. 2, 2021","IKEA's return policy was and may still be 90 days to get your money back not store credit. I return an item for 12 dollars on day 93 ... they refused to give me back what I had paid ... I got a card, and had to waste my time get some junk for $5 since there was nothing else had any need or desire for. This was about 4 years ago. I just found the card and threw it out. I used to spend over $300 a year at IKEA for several years but have never gone back because of this incident. They do not have many convenient locations either. A normal business would take into consideration the amount of a refund and how many days over some specified time is involved ... the gist being to retain customers, a policy which IKEA has proven to NOT be something they care about.",2.0
"Nothappy of Desoto, TX","Original review: Jan. 29, 2021","This is for an Ikea stove top! My understanding is that Westinghouse makes these for Ikea. The Cooktop is well made, as scratch resistant as any glass top I've had previously and is about 1/2 the price. Great warranty (but I haven't needed to use it, so unknown if it actually works), appears to be nicely built.",4.0
"Ewa of Levittown, NY","Original review: Jan. 19, 2021","Good Afternoon, 3 years ago I bought appliances from IKEA!! I am so disappointed of Appliance from IKEA and never will recommend to buy any appliances from IKEA!!! NEVER!! I bought dishwasher for nearly $1000!! Seriously $1000 dishwasher which was repaired nearly 7 times in 3 years!! Yep!! True!! The oven and microwave cost me also too much money!! MY mistake!! I bought the most expensive microwave and oven!! Really!! Never recommend!! I was even ok with those items!! BUT NO!! Listen to this!! My cooktop!! Yes!! MY mistake!! I bought induction cooktop from IKEA!!",1.0
"linsa of Phoenix, AZ","Original review: Jan. 4, 2021","Terrible customer service. Ordered a plant pot; paid a large shipping fee (didn't want to visit store due to COVID + it's an hour drive each way). Pot arrived wrapped in one layer of bubble wrap, knocking around in a huge box, broken in pieces. Took pictures, attempted to contact IKEA. Phone numbers looped into ""We cannot take calls at this time due to high call volume, send us an email"" with no option to leave message. No options to file claim online that matched the situation; no email contacts available online that I could find. ",1.0
"Steve of Bellevue, WA","Original review: Dec. 16, 2020","The product came damaged but not due to shipping, box was ok. There are obviously nicks that occurred before or during packaging. I have tried to call several times but the phone system hangs up on me. Tried email but the only option is to Cancel Order. The store is too far away to hassle with driving and waiting in line plus this wasn't that expensive. Just a bad experience but our last one with IKEA.",1.0
"Aaron of Washington, DC","Original review: Dec. 3, 2020",The comparatively affordable prices with comparatively good quality and wide variety of products make it a good place to shop. The drawbacks are that you have to build many items yourself or may hire somebody to do so which increases the price and that a lot of their furniture is good until you move it.,4.0
"Guilherme of London, Other","Original review: Dec. 2, 2020","Hi, I am trying to get some assistance and none of the channels is answering. Extremely frustrated with IKEA service. I made a big order and paid extra to have express delivery. For my surprise, the products were delivered by taxi drivers that I had to help and one of the products were damaged, not their fault is just that they didn't have proper training and equipment to carry it properly.",1.0
"Darren of Paradise, CA","Original review: Dec. 2, 2020","I ordered three small kitchen items for delivery. 2 items were fine, but a mortal and pestle came with the box damaged (inside the undamaged shipping box), had obviously been opened, the edge of the mortar was chipped, and the pestle looked used. I believe this product had been sold and returned. Reselling used items without disclosing that fact is poor service, especially when it is a food related kitchen tool. ",1.0
"Leslie of Johns Island, SC","Original review: Dec. 2, 2020","The furniture bedding, sofas etc. are made with cheap low-quality materials that tend to break and fall apart. When I purchase furniture I want it made to last for years to come not have to replace it every other year.",2.0
"Leah of Ardmore, PA","Original review: Dec. 1, 2020","I placed an order for a couch 9/13/20. The first delivery in October was incomplete, 3/4 parts arrived. Customer service call led to promise missing item would be delivered within 3-4 weeks. Second delivery in November also incorrect, received wrong part, which they will not take back unless I take it to a local store myself. Customer service call leads to deliver charge refund and another promise of missing part within 3-4 weeks.",1.0
"Lee of Encino, CA","Original review: Dec. 1, 2020","Every IKEA I've been in, California, Illinois, Texas... they always have exceptional customer service! The selection is so varied to meet so many different types of styles of decorating for all ages. The best thing about IKEA is how they always have awesome ideas for storage and staging for decorating. And, you can't go to IKEA without having the Swedish meatballs!",5.0
"Wyatt of Chicago, Illinois","Original review: Nov. 30, 2020",I love IKEA! I have gone so many times this year after my big move. They have everything you need and the wear and tear is so long. The best quality for the best price truly. Every time I go I can't help but leave with so much more than I planned!,5.0
"Karen of Westerville, OH","Original review: Nov. 30, 2020",I like products but the floor plan/traffic pattern is horrid. This actually keeps me from going more often. You have to walk through every dept rather than going directly to specific dept. I would like to shop only in kitchen or office not everything.,3.0
"Wim of Târgu Mureș, Other","Original review: Nov. 29, 2020",IKEA is an one-stop store for furnishings an apartment for rent or daily rent with overall good prices however it would be more valuable as a store to also go above the average quality of products that has a more competitive look with the middle to higher end furniture stores.,3.0
"Kimberly of San Diego, CA","Original review: Nov. 29, 2020",I always have a great experience with Ikea. One stop shopping. Great deals and something for every room in the house. The clearance center is always a treasure hunt. The quality and customer service is outstanding.,5.0
"Vitoria of Boca Raton, FL","Original review: Nov. 28, 2020","In my opinion, IKEA is an excellent store to buy anything for your home. The only inconvenience that you can have is doing every step by yourself, and I mean picking up when you buy in the store, assembling the furniture. But it's the most affordable, good quality maybe not for your whole life but more than 10 years, and all styles.",5.0
"Piotr of Dublin, Other","Original review: Nov. 27, 2020",I ordered online and short after I received email that my order was cancelled. They charged me. After 3h on phone I was advised I’ll be refunded in 5 days. I ordered again with different card. Same thing.,1.0
"John of Romeoville, IL","Original review: Nov. 27, 2020",I found the exact item and the price point I was looking for. The entire process was flawless and will purchase from IKEA in the future. They are competitive with their prices and it’s easy to find furniture in their store.,5.0
"Sondra of Bloomington, CA","Original review: Nov. 26, 2020",What I like most about IKEA is all the hardware is available when you purchase certain items requiring it. They have a simple return policy. They have quality products in a wide variety. They display in order to give you perfect visual of how it is used.,4.0
"Jeff of Hosford, FL","Original review: Nov. 26, 2020",Ikea has a very large selection of products to choose from. Their prices are a little high for the quality of the product. Ikea is a very innovative company. You can buy stuff that others don't offer.,3.0
"Alla of Toronto, ON","Original review: Nov. 25, 2020","In general I Love IKEA...BUT...customer service last couple of years in GTA is very poor. Not enough of them and not too helpful. Especially if you planning on doing new kitchen!! You will wait to just get help for at least 40 min. Last summer we came with idea to pick new countertop... After long waiting time, we just left to different place, that not IKEA.",4.0
